train_data_size,val_data_size,random_seed,representation,val_rate_acc,val_temp_acc,test_rate_acc,test_temp_acc,num_epochs,batch_size
0.7,0.1,6,n_bins,0.0,0.0,tensor(0.7083),tensor(0.6326),17,8
0.7,0.1,6,spike_count,0.0,0.0,tensor(0.5644),tensor(0.5000),17,8
0.7,0.1,93,binary,0.0,0.0,tensor(0.2121),tensor(0.1894),17,8
0.7,0.1,93,n_bins,0.0,0.0,tensor(0.7159),tensor(0.6439),17,8
0.7,0.1,96,binary,0.0,0.0,tensor(0.3106),tensor(0.2727),21,8
0.7,0.1,96,n_bins,0.0,0.0,tensor(0.7083),tensor(0.6856),21,8
0.7,0.1,98,binary,0.0,0.0,tensor(0.3598),tensor(0.3636),25,8
0.7,0.1,98,n_bins,0.0,0.0,tensor(0.7045),tensor(0.6629),25,8
0.8,0.1,13,binary,0.0,0.0,tensor(0.4053),tensor(0.3409),27,8
0.8,0.1,13,n_bins,0.0,0.0,tensor(0.7386),tensor(0.6856),27,8
0.8,0.1,13,time_window,0.0,0.0,tensor(0.4205),tensor(0.4205),27,8
0.8,0.1,42,binary,0.0,0.0,tensor(0.2917),tensor(0.2917),21,8
0.8,0.1,42,n_bins,0.0,0.0,tensor(0.7424),tensor(0.6818),21,8
0.8,0.1,42,spike_count,0.0,0.0,tensor(0.4773),tensor(0.4773),21,8
0.8,0.1,44,binary,0.0,0.0,tensor(0.4280),tensor(0.3598),27,8
0.8,0.1,44,n_bins,0.0,0.0,tensor(0.7424),tensor(0.6856),27,8
0.8,0.1,44,time_window,0.0,0.0,tensor(0.3939),tensor(0.3939),27,8
0.8,0.1,45,binary,0.0,0.0,tensor(0.2500),tensor(0.2311),23,8
0.8,0.1,45,n_bins,0.0,0.0,tensor(0.7576),tensor(0.6742),23,8
0.8,0.1,45,spike_count,0.0,0.0,tensor(0.5265),tensor(0.4962),23,8
0.8,0.1,59,binary,0.0,0.0,tensor(0.5038),tensor(0.4621),27,8
0.8,0.1,59,n_bins,0.0,0.0,tensor(0.7424),tensor(0.7045),27,8
0.8,0.1,59,time_window,0.0,0.0,tensor(0.4053),tensor(0.4053),27,8
0.8,0.1,6,binary,0.0,0.0,tensor(0.2311),tensor(0.2121),39,8
0.8,0.1,6,n_bins,0.0,0.0,tensor(0.7917),tensor(0.7462),39,8
0.8,0.1,6,time_window,0.0,0.0,tensor(0.4053),tensor(0.4242),39,8
0.8,0.1,93,binary,0.0,0.0,tensor(0.1705),tensor(0.1629),19,8
0.8,0.1,93,n_bins,0.0,0.0,tensor(0.6970),tensor(0.6439),19,8
0.8,0.1,93,spike_count,0.0,0.0,tensor(0.5379),tensor(0.5152),19,8
0.8,0.1,96,binary,0.0,0.0,tensor(0.2614),tensor(0.2652),29,8
0.8,0.1,96,n_bins,0.0,0.0,tensor(0.7424),tensor(0.6667),29,8
0.8,0.1,96,spike_count,0.0,0.0,tensor(0.6250),tensor(0.5265),29,8
0.8,0.1,98,binary,0.0,0.0,tensor(0.3674),tensor(0.3485),19,8
0.8,0.1,98,n_bins,0.0,0.0,tensor(0.7348),tensor(0.7008),19,8
0.8,0.1,98,spike_count,0.0,0.0,tensor(0.4962),tensor(0.4583),19,8
